# Baseline
         502204924 function calls (502204785 primitive calls) in 215.464 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 runner.py:164(TextTestRunner)
       43    0.000    0.000    0.000    0.000 enum.py:1179(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1059(_AppendAction)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 suite.py:92(TestSuite)
       13    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 runner.py:30(TextTestResult)
        8    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        1    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.000    0.000 case.py:1365(FunctionTestCase)
       13    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       13    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 traceback.py:248(FrameSummary)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       13    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 enum.py:951(_check_for_existing_members_)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 argparse.py:812(Action)
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 argparse.py:910(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1736(_MutuallyExclusiveGroup)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(get_filename)
        3    0.000    0.000    0.000    0.000 enum.py:822(__members__)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 argparse.py:1306(FileType)
        1    0.000    0.000    0.000    0.000 extended.py:188(AllTestCase)
        4    0.000    0.000    0.000    0.000 enum.py:1123(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:1694(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 suite.py:328(_ErrorHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1361(Namespace)
        1    0.000    0.000    0.000    0.000 loader.py:74(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:990(create_module)
        4    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
        1    0.000    0.000    0.000    0.000 argparse.py:120(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        3    0.000    0.000    0.000    0.000 enum.py:1686(_simple_enum)
        2    0.000    0.000    0.000    0.000 _compiler.py:433(_get_iscased)
        6    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 difflib.py:724(Differ)
        7    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        4    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 runner.py:14(_WritelnDecorator)
        1    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 argparse.py:1147(_HelpAction)
        2    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 argparse.py:967(_StoreAction)
        6    0.000    0.000    0.000    0.000 signal.py:50(_wraps)
        1    0.000    0.000    0.000    0.000 enum.py:980(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 loader.py:22(_FailedTest)
        1    0.000    0.000    0.000    0.000 argparse.py:741(MetavarTypeHelpFormatter)
        3    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 case.py:1423(_SubTest)
        1    0.000    0.000    0.000    0.000 argparse.py:1166(_VersionAction)
        1    0.000    0.000    0.000    0.000 pprint.py:80(_safe_key)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
        1    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1097(_AppendConstAction)
        4    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        9    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 case.py:283(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 argparse.py:1124(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:783(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:701(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1002(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 signals.py:9(_InterruptHandler)
        4    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 argparse.py:690(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1025(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 argparse.py:712(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1042(_StoreFalseAction)
        2    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:656(_ExceptionPrintContext)
        1    0.000    0.000    0.000    0.000 argparse.py:1196(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1295(_ExtendAction)
        5    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 traceback.py:90(_Sentinel)
        3    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 suite.py:375(_DebugResult)
        1    0.000    0.000    0.000    0.000 case.py:202(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:193(_BaseTestCaseContext)
        1    0.000    0.000    0.000    0.000 case.py:26(SkipTest)
        1    0.000    0.000    0.000    0.000 argparse.py:803(ArgumentTypeError)
